zh_CN,Metdata,Label,pt_BR,da,th,es_MX,no,pl,vi,pt_PT,fr_CA,de,es,fr,it,ko,package,Translated,Configuration
"没有电话号码无法关联联系人。请选择，更新或者创建一个正确的电话号码","CustomLabel.CEC_LinkToCaseNoPhoneError","Contacts cannot be linked without a Phone Number. Please Select, Update or Create a contact containing a Phone Number.","Não é possível vincular um conato sem número de telefone. Por gentileza selecione atualizar ou crie um contato que contenha número de telefone","Kontakter kan ikke linkes uden et telefonnummer. Venligst vælg, opdater eller opret en kontakt, der indeholder et telefonnummer.","ไม่สามารถเชื่อมโยงผู้ติดต่อได้ หากไม่มีหมายเลขโทรศัพท์ โปรดเลือกอัปเดต หรือสร้างผู้ติดต่อที่มีหมายเลขโทรศัพท์","Los contactos no se pueden vincular sin un número de teléfono. Selecciona, Actualiza o Crea un contacto que contenga un número de teléfono.","Kontakter kan ikke bli knyttet opp uten telefonnummer. Vennligst velg, Oppdatere eller Opprett en kontakt som inneholder et telefonnummer","Nie można przypisać kontaktu bez numeru telefonu. Wybierz, zaktualizuj lub stwórz kontakt zawierający numer telefonu.","Không thể liên kết danh bạ nếu không có Số điện thoại. Vui lòng Chọn, Cập nhật hoặc Tạo một liên hệ có chứa Số điện thoại.","","Impossible de lier les contacts sans un numéro de téléphone. Veuillez sélectionner, mettre à jour ou créer un contact avec un numéro de téléphone.","Kontakte können nicht ohne Telefonnummer verlinkt werden. Wähle einen entsprechenden Kontakt mit Telefonnummer aus, aktualisiere oder erstelle diesen.","Los contactos no se pueden vincular sin un número de teléfono. Selecciona, actualiza o crea un contacto que contenga un número de teléfono.","Impossible d'associer les contacts sans numéro de téléphone. Veuillez sélectionner, mettre à jour ou créer un contact avec un numéro de téléphone.","Non è possibile associare un contatto senza numero di telefono. Seleziona, modifica o crea un contatto che contenga un numero di telefono","연락처는 전화 번호 없이 연결할 수 없습니다. 전화 번호가 포함된 연락처를 선택, 업데이트 또는 생성하십시오.","CustomLabel$CEC_LinkToCaseNoPhoneError","Will be Transalted","No"
"链接联系人","CustomLabel.CEC_Link_Contact","Link Contact","link de contato","Link kontakt","เชื่อมโยงผู้ติดต่อ","Asociar Contacto","Link kontakt","Przypisz kontakt","Liên kết liên hệ","Link Contato","Lier le contact","Kontakt verknüpfen","Contacto Asociado","Associer le contact","Associa contatto","연락처 연결","CustomLabel$CEC_Link_Contact","Will be Transalted","No"
"维护责任队列","CustomLabel.CEC_MaintainResponsibility_Queue","Maintain Responsibility Queue","Responsabilidade de Manutenção Queue","Vedligehold ansvar kø","กำหนดคิวความรับผิดชอบ","Mantener la Cola de Prioridad","Oppretthold ansvars kø","Kolejka Zachowaj odpowiedzialność","Queue " Duy trì trách nhiệm"","Manter a Lista de Propriedade","File d'attente de maintien de la responsabilité","Verantwortung beibehalten Queue","Mantener la Cola de Prioridad","File d'attente du maintien de la responsabilité","Coda Mantenere proprietà","책임 유지 대기열","CustomLabel$CEC_MaintainResponsibility_Queue","Will be Transalted","No"
"提示-客户联系人不是必须的。其他人将联系客户","CustomLabel.CEC_Maintain_Responsibility_Warning_Message","IMPORTANT - Customer Contact is not required. Another team member will reach out to the customer.","IMPORTANTE - Contato com o cliente não solicitado. Outro membro da equipe irá contatar o cliente.","VIGTIGT - Kundekontakt er ikke krævet. En anden medarbejder will række ud til kunden","สำคัญ - ไม่จำเป็นต้องทำการติดต่อกับลูกค้า สมาชิกในทีมท่านอื่นจะทำการติดต่อกับลูกค้า","IMPORTANTE - No se requiere contacto con el cliente. Otro miembro del equipo se comunicará con el cliente.","VIKTIG - Kundekontakt er ikke påkrevd. Et annet team vil nå ut til kunden.","UWAGA - Kontakt z klientem nie jest wymagany. Inny pracownik skontaktuje się z klientem.","LƯU Ý QUAN TRỌNG - Không cần liên hệ với khách hàng. Một thành viên khác trong nhóm sẽ liên hệ với khách hàng.","IMPORTANTE - Não é solicitado contacto com o cliente. Outro membro da equipa irá contactar o cliente.","IMPORTANT - Aucun contact avec le client n'est requis.","WICHTIG - Kundenkontakt ist nicht erforderlich. Ein anderes Team Mitglied wird sich an den Kunden wenden.","IMPORTANTE - No se requiere contacto con el cliente. Otro miembro del equipo se comunicará con el cliente.","IMPORTANT - Pas de contact client requis. Un autre membre de l’équipe contactera le client.","IMPORTANTE - Contatto al cliente non richiesto. Un altro utente contatterà il cliente","중요-고객 연락처는 필요하지 않습니다. 다른 팀원이 고객에게 연락 할 것입니다.","CustomLabel$CEC_Maintain_Responsibility_Warning_Message","Will be Transalted","No"
"必备信息","CustomLabel.CEC_Mandatory_Information","Mandatory Information","Informação Obrigatória","obligatorisk information","ข้อมูลบังคับ","Información Obligatoria","Påkrevd informasjon","Wymagane informacje","Thông tin bắt buộc","Informação Obrigatória","Renseignements obligatoires","Pflichtinformationen","Información Obligatoria","Informations obligatoires","Informazioni obbligatorie","필수 정보","CustomLabel$CEC_Mandatory_Information","Will be Transalted","No"
"必备信息","CustomLabel.CEC_Mandatory_Information_Uppercase","MANDATORY INFORMATION","Informação Obrigatória","obligatorisk information","ข้อมูลบังคับ","Información Obligatoria","Påkrevd informasjon","Wymagane informacje","Thông tin bắt buộc","Informação Obrigatória","Renseignements obligatoires","Pflichtinformationen","Información Obligatoria","Informations obligatoires","Informazioni obbligatorie","필수 정보","CustomLabel$CEC_Mandatory_Information_Uppercase","Will be Transalted","No"
"没有添加货件识别标签","CustomLabel.CEC_Message_No_Shipment_identifiers_AddedOnCase","No Shipment Identifiers have been added to this Case","Nenhum envio foi adicionado à esse caso","Ingen forsendelsesidentifikatorer er føjet til denne sag","ไม่มีการเพิ่มตัวระบุข้อมูลการขนส่งในเคสนี้","No se han añadido Identificadores de Envío a este Caso","Ingen forsendelseidenfitikatorer er lagt til i saken","Do sprawy nie dodano identyfikatorów przesyłki","Không có nhận dạng Lô hàng nào được thêm vào Trường hợp này","Nenhum Identificador de Envio foi adicionado a este caso","Aucun identifiant d'envoi n'a été ajouté à cette requête.","Zu diesem Vorgang wurden keine Sendungsmerkmale hinzugefügt","No se han añadido Identificadores de Envío a este Caso","Aucun identifiant d'envoi n'a été ajouté à ce dossier","A questo caso non è stato aggiunto alcun codice identificativo","이 케이스에 추가된 발송물 식별 번호가 없습니다.","CustomLabel$CEC_Message_No_Shipment_identifiers_AddedOnCase","Will be Transalted","No"
"请选择至少一个角色","CustomLabel.CEC_Message_Role","Please Select at least one role","Por favor, selecione pelo menos um papel","","ลิงก์ติดต่อโปรดเลือกอย่างน้อยหนึ่งบทบาท","Seleccione al menos un rol","","Wybierz co najmniej jedną rolę","","Por favor, selecione pelo menos um papel","","Bitte wählen Sie mindestens eine Rolle aus","Seleccione al menos un rol","Veuillez sélectionner au moins un rôle","","하나 이상의 역할을 선택하십시오.","CustomLabel$CEC_Message_Role","Will be Transalted","No"
"里程碑","CustomLabel.CEC_Milestones_Tab","MILESTONES","INDICADORES","Milesten","เหตุการณ์สำคัญ","INDICADORES","MILEPÆL","TERMIN OSTATECZNY","Cột mốc","TEMPO LIMITE","JALONS","MEILENSTEINE","INDICADORES","ÉTAPES","SCADENZA","마일스톤","CustomLabel$CEC_Milestones_Tab","Will be Transalted","No"
"手机号码","CustomLabel.CEC_Mobile","Mobile Phone","Celular","Mobiltelefon","หมายเลขโทรศัพท์มือถือ","Celular","Mobil","Telefon komórkowy","Số điện thoại di động","Telemóvel","Cellulaire","Handy","Teléfono Móvil","Cellulaire","Cellulare","핸드폰 번호","CustomLabel$CEC_Mobile","Will be Transalted","No"
"手机号码","CustomLabel.CEC_Mobile_Phone","Mobile Phone","Celular","Mobiltelefon","หมายเลขโทรศัพท์มือถือ","Celular","Mobil","Telefon komórkowy","Số điện thoại di động","Telemóvel","Cellulaire","Handy","Teléfono Móvil","Cellulaire","Cellulare","핸드폰 번호","CustomLabel$CEC_Mobile_Phone","Will be Transalted","No"
"存在多个匹配项","CustomLabel.CEC_Multiple_Contact_Records_Found","Multiple matches exist.","Exisem vários registros com esse informação","Flere matches findes","พบหลายข้อมูลที่คล้ายคลึงกัน","Existen múltiples coincidencias.","Flere truff funnet","Znaleziono kilka pozycji pasujących do zapytania.","Tồn tại nhiều kết quả phù hợp.","Vários registros de contato encontrados","Plusieurs correspondances ont été trouvées.","Mehrere Übereinstimmungen vorhanden","Existen múltiples coincidencias.","Plusieurs correspondances trouvées","Esistono diverse corrispondenze","일치하는 항목이 여러 개 있습니다.","CustomLabel$CEC_Multiple_Contact_Records_Found","Will be Transalted","No"
"My Choice指引","CustomLabel.CEC_MyChoice_for_Business","My Choice Indicator","Indicador My Choice","My Choice Indikator","ตัวบ่งชี้ My Choice","Indicador My Choice","MyChoice indikator","Rodzaj konta My Choice","Chỉ báo My Choice","Indicador My Choice","Indicateur UPS My Choice","My Choice Hinweis","Indicador My Choice","Indicateur UPS My Choice","Tipologia cliente My Choice","My Choice 관련 정보","CustomLabel$CEC_MyChoice_for_Business","Will be Transalted","No"
"My Choice","CustomLabel.CEC_My_Choice","My Choice","My Choice","My Choice","My Choice","My Choice","MyChoice","UPS My Choice","My Choice","My Choice","UPS My Choice","UPS My Choice","My Choice","UPS My Choice","UPS My Choice","My Choice","CustomLabel$CEC_My_Choice","Will be Transalted","No"
"我的详情","CustomLabel.CEC_My_Details","My Details","Meu Detalhe","Mine oplysninger","รายละเอียดของฉัน","Mis Detalles","Mine Detaljer","","Thông tin chi tiết về tôi","Meus Detalhes","Mes coordonnées","","Mis Detalles","Mes détails","Miei dettagli","내 세부사항","CustomLabel$CEC_My_Details","Will be Transalted","No"
"我的团队成员详情","CustomLabel.CEC_My_Team_Members_Details","My Team Member's Details","Detalhes dos membros da minha equipe","Mit holds oplysninger","รายละเอียดสมาชิกในทีมของฉัน","Detalles de los miembros de mi equipo","Mine team medlemers detaljer","","Thông tin chi tiết về nhóm của tôi","Detalhes do Membros da minha equipa","Coordonnées des membres de mon équipe","","Detalles de los Miembros de mi Equipo","Détails des membres de mon équipe","Dettagli del mio gruppo","팀원의 세부사항","CustomLabel$CEC_My_Team_Members_Details","Will be Transalted","No"
"创建新的案件","CustomLabel.CEC_NEW_CASE_HEADER","Create a New Case","","Opret en ny sag","สร้างเคสใหม่","","Opprett en ny sak","","Tạo case mới","Criar Novo Caso","Créer une nouvelle requête","","Crear un Caso Nuevo","Créer une nouvelle requête","","새로운 케이스 생성","CustomLabel$CEC_NEW_CASE_HEADER","Will be Transalted","No"
"备注文档","CustomLabel.CEC_NOTES_FILES","NOTES & FILES","OBSERVAÇÕES E ARQUIVOS","NOTER & FILER","ข้อความ และ ไฟล์","NOTAS Y ARCHIVOS","FILER & NOTATER","NOTATKI I ZAŁĄCZNIKI","Ghi chú & các tài liệu","OBSERVAÇÕES E ARQUIVOS","NOTES ET FICHIERS","NOTIZEN & DATEIEN","NOTAS Y ARCHIVOS","NOTES ET FICHIERS","NOTE E DOCUMENTI","메모 & 파일","CustomLabel$CEC_NOTES_FILES","Will be Transalted","No"
"姓名","CustomLabel.CEC_Name","Name","Nome","Navn","ชื่อ","Nombre","Navn","Nazwa klienta","Tên","Nome","Nom complet","Name","Nombre","Nom complet","Nome e cognome","이름","CustomLabel$CEC_Name","Will be Transalted","No"
"新货件识别","CustomLabel.CEC_New_Shipment_Identifier","New Shipment Identifier","Novo envio identificado","Ny forsendelsesidentifikator","การระบุข้อมูลเกี่ยวกับการขนส่งใหม่","Nuevo Identificador de Envío","Ny forsendelses identifikator","Nowy identyfikator przesyłki","Nhận dạng lô hàng mới","Novo Identificador de Envio","Nouvel identifiant d'envoi","Neues Sendungsmerkmal","Nuevo Identificador de Envío","Nouvel identifiant d'envoi","Nuovo codice identificativo","새로운 발송물 식별","CustomLabel$CEC_New_Shipment_Identifier","Will be Transalted","No"
"案件没有相关附件","CustomLabel.CEC_No_Attachments","No attachments available for this case.","Não é possível inserir anexos nesse caso","Ingen vedhæftninger tilgængelig ved denne sag","ไม่มีไฟล์แนบสำหรับเคสนี้","No hay archivos adjuntos disponibles para este caso.","Ingen vedlegg tilgjengelig for denne saken","Brak załączników do tej sprawy.","Case này không có đính kèm","Não há anexos disponíveis neste caso.","Aucune pièce jointe n'est disponible pour cette requête.","Keine Anhänge für diesen Vorgang verfügbar.","No hay archivos adjuntos disponibles para este caso.","Aucune pièce jointe n'est disponible pour cette requête.","Nessun allegato disponibile per questo caso.","이 케이스에 사용할 수 있는 첨부 파일이 없습니다.","CustomLabel$CEC_No_Attachments","Will be Transalted","No"
"请选择案例","CustomLabel.CEC_No_Record_Select_Error","Kindly Select The Cases","Por favor, selecione os casos","","กรุณาเลือกกรณี","Amablemente seleccione los casos","","Uprzejmie Wybierz przypadki","","Por favor, selecione os casos","","Bitte wählen Sie die Fälle","Amablemente seleccione los casos","Veuillez sélectionner les cas","","친절하게 사례 선택","CustomLabel$CEC_No_Record_Select_Error","Will be Transalted","No"
"没有匹配的联系人，请从以下关联项中任选一个来创建联系人信息","CustomLabel.CEC_No_match_found_select_from_list_below","No contact match found, please select an option below to associate a contact to this case.","Nenhum contato compatível foi localizado, por favor selecione uma opção abaixo para associar um contato à esse caso","Ingen kontaktmatch fundet. Vælg en af ​​nedenstående indstillinger for at knytte en kontakt til denne sag.","ไม่พบผู้ติดต่อที่ตรงกันโปรดเลือกตัวเลือกด้านล่างเพื่อเชื่อมโยงผู้ติดต่อกับเคสนี้","No se ha encontrado ninguna coincidencia de contacto, selecciona una de las opciones siguientes para asociar un contacto a este caso.","Ingen treff på kontakt, vennligst velg et alternativ under for å knytte en kontakt til saken","Nie znaleziono odpowiadającego kontaktu. Wybierz jedną z opcji poniżej, aby przypisać kontakt do sprawy.","Không tìm thấy liên hệ phù hợp, vui lòng chọn một tùy chọn bên dưới để liên lạc trong trường hợp này.","Nenhuma correspondência encontrada, selecione da lista abaixo:","Aucune correspondance trouvée. Veuillez sélectionner une option ci-dessous pour associer un contact à cette requête,","Es wurde keine Kontaktübereinstimmung gefunden. Wählen Sie unten eine Option aus, um diesen Vorgang einem Kontakt zuzuordnen.","No se ha encontrado ninguna coincidencia de contacto, selecciona una de las opciones siguientes para asociar un contacto a este caso.","Aucune correspondance de contact trouvée, veuillez séléctionner une option depuis la liste ci-dessous  :","Non è stata trovata nessuna corrispondenza. Scegli una delle opzioni sotto indicate per associare un contatto al caso","일치하는 연락처가 없습니다. 아래 옵션을 선택하여 연락처를 이 사례에 연결하십시오.","CustomLabel$CEC_No_match_found_select_from_list_below","Will be Transalted","No"
"无账号客户","CustomLabel.CEC_Non_Account_Business","Non-Account Business","Empresa sem conta","Virksomhed uden kontonummer","ลูกค้าธุรกิจไม่มีสมาชิก UPS","Empresa Sin Cuenta","Bedrift uten kundenummer","Firma (bez numeru klienta)","Khách hàng chưa có tài khoản","Empresa Sem Conta","Entreprise (sans compte)","Firma ohne Kundennummer","Empresa Sin Cuenta","Professionnel sans compte","Cliente occasionale - azienda","무계정 기업","CustomLabel$CEC_Non_Account_Business","Will be Transalted","No"
"无账号客户公司名称","CustomLabel.CEC_Non_Account_Business_Company_Name","Non-Account Business Company Name","Nome da Empresa sem conta","Virksomhed uden kontonummer-navn","ชื่อลูกค้าธุรกิจไม่มีสมาชิก UPS","Razón Social de la Empresa Sin Cuenta","Navn for bedrift uten kundenummer","Nazwa firmy (bez numeru klienta)","Tên công ty của khách hàng chưa có tài khoản","Nome da Empresa Sem Conta","Nom de l'entreprise (sans compte)","Name der Firma ohne Kundennummer","Razón Social de la Empresa Sin Cuenta","Nom du professionnel Sans compte","Nome dell'azienda","무계정 기업 회사명","CustomLabel$CEC_Non_Account_Business_Company_Name","Will be Transalted","No"
"没有识别到相关案件","CustomLabel.CEC_None_related_Case_Message","No related Cases have been identified","Nenhum caso relacionado foi identificado","Ingen relaterede sager er blevet idetificeret","ไม่พบเคสเกี่ยวข้อง","No se han identificado casos relacionados","Ingen relaterte saker har blitt identifisert","Nie zidentyfikowano powiązanych spraw","Không xác định được trường hợp tương tự","Nenhum caso relacionado identificado","Aucune requête pertinente n'a été trouvée.","Es wurden keine zugeordneten Vorgänge gefunden","No se han identificado casos relacionados.","Aucune requête annexe trouvée","Non sono stati trovati casi correlati","관련된 케이스가 확인되지 않았습니다.","CustomLabel$CEC_None_related_Case_Message","Will be Transalted","No"
"不适用","CustomLabel.CEC_Not_Applicable","Not Applicable","Não Aplicado","Ikke anvendelig","ไม่สามารถใช้ได้","No Aplica","Ikke aktuelt","Nie dotyczy","Không phù hợp","Não Aplicado","Sans objet","Nicht zutreffend","No Aplicable","Non applicable","Non applicabile","해당 없음","CustomLabel$CEC_Not_Applicable","Will be Transalted","No"
"通知","CustomLabel.CEC_Notifications","Notifications","","Notifikationer","การแจ้งเตือน","Notificaciones","Notifikasjoner","","Thông báo","","Notifications","","Notificaciones","Notifications","Notifiche","알림","CustomLabel$CEC_Notifications","Will be Transalted","No"
"数","CustomLabel.CEC_Number","Number","Número","","จำนวน","Número","","Numer","","Número","","Nummer","Número","Nombre","","번호","CustomLabel$CEC_Number","Will be Transalted","No"
"包裹件数","CustomLabel.CEC_Number_of_Pieces","Number of Pieces","Número de Caixas","Antal af pakker","จำนวนกล่อง","Número de paquetes","Antall pakker","Liczba paczek","Số kiện hàng","Número de Volumes","Nombre de colis","Anzahl der Pakete","Número de Paquetes","Nombre de colis","Numero di pacchi","패키지 수","CustomLabel$CEC_Number_of_Pieces","Will be Transalted","No"
"随时取件","CustomLabel.CEC_On_Call_Pickup","On-Call Pickup","Coleta","On-call Opsamling","โทรนัดหมายรับสินค้า","Recolección","On-Call opphenting","Zlecenie standardowe","Gọi điện thoại để yêu cầu nhận hàng","Recolha por Telefone","Ramassage sur appel","Abholung auf Abruf","Recogida Telefónica","Enlèvement sur demande","Ritiro","on-call 픽업","CustomLabel$CEC_On_Call_Pickup","Will be Transalted","No"
"公开联系人","CustomLabel.CEC_OpenContact","Open Contact","Abrir Contato","Åben Kontakt","เปิดผู้ติดต่อ","Contacto Abierto","Åpne kontakter","Otwórz kontakt","Bắt đầu liên lạc","Abrir Contacto","Ouvrir contact","Kontakt öffnen","Contacto Abierto","Ouvrir contact","Apri contatto","연락처 보기","CustomLabel$CEC_OpenContact","Will be Transalted","No"
"开门时间","CustomLabel.CEC_Open_Time","Open Time","Horário de Abertura","Åbningstid","เวลาเปิดทำการ","Horario de Apertura","Åpningstid","Godziny otwarcia","Giờ mở cửa","Horário de Abertura","Heure d'ouverture","Öffnungszeiten","Horario de Apertura","Heure d'ouverture","Orario di apertura","업무 시간","CustomLabel$CEC_Open_Time","Will be Transalted","No"
"订单日期/时间","CustomLabel.CEC_Order_Date_Time","Order Date/Time","Data / Horario da Solicitação","Bestil Dato/Tid","วันที่ / เวลาสั่งซื้อ","Fecha / Hora de Pedido","Ordre dato","Data/godziny zlecenia odbioru","Ngày / giờ yêu cầu","Data / Hora do Pedido","Date/heure de la commande","Auftragsdatum/Uhrzeit","Fecha / Hora de la Solicitud","Date/heure de la demande","Data/orario della prenotazione","예약 날짜/시간","CustomLabel$CEC_Order_Date_Time","Will be Transalted","No"
"订单状态","CustomLabel.CEC_Order_Status","Order Status","Status da Solicitação","Ordre status","สถานะการรับสินค้า","Estado de la Solicitud","Ordrestatus","Status zlecenia","Trạng thái đặt hàng","Estado do Pedido","Statut de la commande","Abholstatus","Estado de la Solicitud","Statut de la demande","Stato della prenotazione","예약 상태","CustomLabel$CEC_Order_Status","Will be Transalted","No"
"其他","CustomLabel.CEC_Other","Other","Outro","Andre","อื่นๆ","Otro","Annet","Inne","Khác","Outro","Autre","Anderes","Otro","Autre","Altro","기타","CustomLabel$CEC_Other","Will be Transalted","No"
"其他电话","CustomLabel.CEC_Other_Phone","Other Phone","Telefone Alternativo","Anden telefon","หมายเลขโทรศัพท์อื่น","Teléfono Alterno","Annen Telefon","Dodatkowy numer telefonu","Số điện thoại khác","Telefone Alternativo","Téléphone (autre)","Alternative Telefonnummer","Teléfono Alternativo","Téléphone alternatif","Telefono alternativo","다른 연락처","CustomLabel$CEC_Other_Phone","Will be Transalted","No"
"在关闭此案件前请先关闭子案件","CustomLabel.CEC_Parent_Case_Close_Error_Message","Please close Child Case before closing the Parent Case.","Por favor, feche o Child Case antes de fechar o Caso Parente.","Luk venligst barnesag før lukning af voksensag","โปรดปิด Child Case ก่อนปิดบัญชีกรณีผู้ปกครอง","Por favor cierre Child Case antes de cerrar el Caso de los padres.","Steng undersak før du stenger den opprinnelige hovedsaken.","Proszę zamknij sprawę powiązaną przed zamknięciem sprawy źródłowej","","Por favor encerrar o caso secundario antes do caso principal","","Bitte untergeordneten Vorgang schliessen bevor sie den übergeordneten Vorgang schliessen","Por favor cerrar el caso hijo antes de cerrar el caso padre","Merci de fermer le dossier « child » avant de fermer le dossier Parent.","","학부모 케이스를 닫기 전에 아동 케이스를 닫으십시오.","CustomLabel$CEC_Parent_Case_Close_Error_Message","Will be Transalted","No"
"电话","CustomLabel.CEC_Phone","Phone","Telefone","Telefon","หมายเลขโทรศัพท์","Teléfono","Telefon","Telefon","Điện thoại","Telefone","Téléphone","Telefonnummer","Teléfono","Téléphone","Telefono","연락처","CustomLabel$CEC_Phone","Will be Transalted","No"
"分机号码","CustomLabel.CEC_Phone_Extension","Phone Extension #","Ramal","Telfon extension #","หมายเลขต่อ","# Extensión","Telefonutvidelse","Numer wewnętrzny","Số máy nhánh","# Extensão","Numéro de poste","Durchwahl","# Extensión","Extention","Interno telefonico","내선번호","CustomLabel$CEC_Phone_Extension","Will be Transalted","No"
"电话号码","CustomLabel.CEC_Phone_Number","Phone Number","Número de Telefone","Telefonnummer","หมายเลขโทรศัพท์","Teléfono","Telefonnummer","Numer telefonu","Số điện thoại","Número de Telefone","Numéro de téléphone","Telefonnummer","Número de Teléfono","Numéro de téléphone","Telefono","전화번호","CustomLabel$CEC_Phone_Number","Will be Transalted","No"
"取件地址","CustomLabel.CEC_Pickup_Address","Pickup Address","Endereço de Coleta","Opsamlingsadresse","ที่อยู่รับสินค้า","Dirección de Recolección","Opphentingsadresse","Adres odbioru zlecenia","Địa chỉ nhận hàng","Morada da Recolha","Adresse de ramassage","Abholadresse","Dirección de Recogida","Adresse de l'enlèvement","Indirizzo di ritiro","픽업 주소","CustomLabel$CEC_Pickup_Address","Will be Transalted","No"
"取件联系人","CustomLabel.CEC_Pickup_Contact","Pickup Contact","Contato da Coleta","Opsamlingskontakt","ผู้ติดต่อรับสินค้า","Persona de Contacto","Opphentingskontakt","Osoba kontaktowa","Người liên hệ để nhận hàng","Contacto da Recolha","Contact de ramassage","Kontakt der Abholung","Contacto para la Recogida","Contact enlèvement","Nominativo di contatto","픽업 담당자","CustomLabel$CEC_Pickup_Contact","Will be Transalted","No"
"取件日期/承诺","CustomLabel.CEC_Pickup_Date_Commit","Pickup Date/Commit","Data / Agendamento Coleta","Opamling Dato/Tid","วันที่ไปรับ / ยืนยัน","Fecha Compromiso de Recolección","Opphenting dato","Ustalona data odbioru","Ngày nhận hàng / Cam kết","Data / Compromisso da Recolha","Date/heure garantie du ramassage","Abholdatum/zugesagte Zeit","Fecha/Compromiso de la Recogida","Date/heure limite de l'enlèvement","Data/ultimo orario di ritiro","픽업 날짜/약속","CustomLabel$CEC_Pickup_Date_Commit","Will be Transalted","No"
"取件记录","CustomLabel.CEC_Pickup_History","Pickup History","Histórico de Coletas","Opsamlingshistorik","ประวัติการรับสินค้า","Historial de Recolección","Opphentingshistorikk","Historia odbiorów","Lịch sử nhận hàng","Histórico de Recolhas","Historique des ramassages","Abholarchiv","Historial de Recogidas","Historiques des enlèvements","Storico ritiri","픽업 내역","CustomLabel$CEC_Pickup_History","Will be Transalted","No"
"根据当前搜索条件，没有任何记录","CustomLabel.CEC_Pickup_History_No_Results","No records were found based on the current search criteria.","Nenhum registro foi encontrado baseado no critério de busca solicitado","Intet blev fundet baseret på de nuværende søgekriterier","ไม่พบข้อมูลตามเกณฑ์การค้นหาปัจจุบัน","No se encontraron registros según los criterios de búsqueda actuales","Ingen treff basert på søkekriteriene","Brak rekordów według aktualnych kryteriów wyszukiwania","Dựa trên cơ sở tìm kiếm hiện tại, không tìm thấy dữ liệu cần tìm.","Não há registos com base no critério de pesquisa actual","Aucun dossier n'a été trouvé avec les critères de recherche sélectionnés.","Keine Ergebnisse anhand der eingegebenen Suchkriterien gefunden","No se han encontrado registros según los criterios de búsqueda actuales","Aucun enregistrement n'a été trouvé avec les critères de recherche sélectionnés","Nessun risultato trovato in base ai criteri di ricerca inseriti","현재 검색 기준에 따른 기록이 없습니다.","CustomLabel$CEC_Pickup_History_No_Results","Will be Transalted","No"
"邮编","CustomLabel.CEC_PostalCode","Postal Code","Código Postal","Postnummer","รหัสไปรษณีย์","Código Postal","Postnummer","Kod pocztowy","Mã bưu điện","Código Postal","Code postal","Postleitzahl","Código Postal","Code postal","Codice postale","우편번호","CustomLabel$CEC_PostalCode","Will be Transalted","No"
"首选项","CustomLabel.CEC_Preferences","PREFERENCES","Preferencias","Præferencer","ค่ากำหนด","Preferencias","PREFERANSER","","Các tham khảo","PREFERÊNCIAS","PRÉFÉRENCES","","PREFERENCIAS","Préférences","PREFERENZE","기본 설정","CustomLabel$CEC_Preferences","Will be Transalted","No"
"首选联络方式","CustomLabel.CEC_Preferred_Communication_Channel","Preferred Communication Channel","Preferencia de Canal de Comunicação","Foretrukket kommunikationskanal","ช่องทางที่ต้องการให้ติดต่อ","Canal de Comunicación Preferido","Foretrukket kommunikasjonskanal","Preferowana forma kontaktu","Kênh liên lạc thuận tiện","Cana de Comunicação Preferido","Mode de communication privilégié","Bevorzugter Kommunikationskanal","Canal de Comunicación Preferido","Canal de communication préféré","Canale di comunicazione preferito","선호 연락 채널","CustomLabel$CEC_Preferred_Communication_Channel","Will be Transalted","No"
"是否是尊贵客户","CustomLabel.CEC_Preferred_Status","Preferred Status","Cliente Preferencial","Foretrukken Status","สถานะลูกค้ากลุ่ม Preferred","Cliente Preferencial","Foretrukket status","Preferred Status","Tình trạng ưu tiên","Cliente Preferencial","Statut privilégié","Preffered Status","Cliente Preferente","Statut privilégié","Cliente preferenziale","Preferred Customer 여부","CustomLabel$CEC_Preferred_Status","Will be Transalted","No"
"勿使用此界面做任何编辑","CustomLabel.CEC_Prevent_Edit_On_Standard_Screen_Info_Message","DO NOT USE THIS SCREEN TO MAKE ANY EDITS.","NÃO USE ESTA TELA PARA FAZER NENHUMA ALTERAÇÃO","BRUG IKKE DENNE SKÆRM TIL AT LAVE ÆNDRINGER","อย่าใช้อินเทอร์เฟซนี้สำหรับการแก้ไขใด ๆ","NO UTILICES ESTA PANTALLA PARA HACER NINGUNA MODIFICACIÓN.","IKKE FORETA ENDRINGER PÅ DENNE SKJERMEN","NIE WYKONUJ ŻADNYCH EDYCJI NA TYM EKRANIE","KHÔNG SỬ DỤNG MÀN HÌNH NÀY ĐỂ THỰC HIỆN BẤT KỲ CHỈNH SỬA NÀO.","NÃO UTILIZE ESTE ECRÃ PARA FAZAR QUALQUER ALTERAÇÃO","N'APPORTEZ AUCUNE MODIFICATION SUR CET ÉCRAN.","DIESEN BILDSCHIRM NICHT FÜR ÄNDERUNGEN NUTZEN","NO UTILICES ESTA PANTALLA PARA HACER NINGUNA MODIFICACIÓN.","N’UTILISEZ PAS CET ÉCRAN POUR EFFECTUER DES MODIFICATIONS","NON UTILIZZARE QUESTA SCHERMATA PER EFFETTUARE MODIFICHE","수정을 위하여 이 화면을 이용하지 마십시오","CustomLabel$CEC_Prevent_Edit_On_Standard_Screen_Info_Message","Will be Transalted","No"
